objectid,parentid,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,relation,coverage
ba0001,,ba0001,[Una de las cosas que debiesen...],,1923-05-18,"It's bad that they are breaking the law but not what they are doing to break the law. ""La mascara es una de las armas del criminal."" ",Race; discrimination; Violence; Ku-Klux Klan,"Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0001.jpg,/objects/ba0001.jpg,,,,
ba0002,,ba0002,"Buenos amigos tiene ""Su Excelencia""",,1923-07-20,Entries detailing the cozy relationships Carl Magee has with members of the Klan,"Literary notices;
Societies; Ku Klux Klan;
Cities & towns; El Paso, Texas;
Editors; MaGee, Carl;
Newspapers; New Mexico State Tribune;
1923","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0002.jpg,/objects/ba0002.jpg,,,,
ba0003,,ba0003,?Sera Magee socio de la Ku Klux Klan?,,1923-08-03,Article explicitly asking if Magee is a partner of the KKK,Literary notices,"Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0003.jpg,/objects/ba0003.jpg,,,,
ba0004,,ba0004,[En un articulo de fondo...],,1923-08-17,Series of Articles on page. This specific article speaks to the regulations from the anglosaxon courts on New Mexican courts during this time.,"Literary notices;
Newspapers; The Taos Valley News;
Newspapers; Denver Post;
Racial discrimination;
Editors; MaGee, Carl;
1923;","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0004.jpg,/objects/ba0004.jpg,,,,
ba0005,,ba0005,Son palabras de Charles Dickens.,,1923-12-14,"""No hay mas ciego que el que no quiere ver","
Essays","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0005.jpg,/objects/ba0005.jpg,,,,
ba0006,,ba0006,Al cabo caen,,1923-12-21,"Entry speaking about the quick disintegration of the KKK, as it's an organization that is based on hate and racism.","Essays
Terms & phrases
Societies; Ku klux Klan;
Norter, Henry;
Race discrimination;
Indifferentism (Religion);
1923","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0006.jpg,/objects/ba0006.jpg,,,,
ba0007,,ba0007,La nota disonante,,1923-12-21,"""The dissonant note"" is the one understood as the KKK. They represent the spirit of ""Satan."" ","Sketches;
Religious literature;
Holidays; Christmas;
Societies; Ku klux klan;
1923","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0007.jpg,/objects/ba0007.jpg,,,,
ba0008,,ba0008,Editor klanista culpable de homicidio,,1923-12-28,Philip E. Fox was found guilty of homicide of a Klan lawyer.,"Literary notices;
Trials (Homicide);
Newspapers; Night Hawk;
Ku Klux Klan;
1923","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0008.jpg,/objects/ba0008.jpg,,,,
ba0009,,ba0009,Eso Mismo Los Aflije a Todos Ellos,,1923-12-28,"Entry stating Philip E. Fox killed William S. Coburn because he was suffering from a ""locura"" called paronoia.","Literary notices;
Trials (Homicide);
Paranoia;
Ku Klux Klan (1915- );
1923","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0009.jpg,/objects/ba0009.jpg,,,,
ba0010,,ba0010,La Voz del Pueblo,T. Ensarto (Pseud.),1924-08-01,"""The KKK are apostoles of the Catholic church""","Essays;
Journalistic ethics;
Ku Klux Klan;
Newspapers editors;
Newspapers Las Vegas, NM; La; Voz del Pueblo;
Criticism;
1924","Albuquerque, NM",35.0843859,-106.65042,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0010.jpg,/objects/ba0010.jpg,,,,
